what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.7.0_15",1387516318759
java.vm.info,sysinfo,,,"mixed mode",1387516318759
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1387516318759
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1387516318759
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1387516318759
java.vm.specification.version,sysinfo,,,"1.7",1387516318759
java.vm.vendor,sysinfo,,,"Oracle Corporation",1387516318759
java.vm.version,sysinfo,,,"23.7-b01",1387516318759
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1387516319384
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1387516319491
started,bundle,com.liferay.ide.eclipse.ui,1.6.0.v201207270948,"com.liferay.ide.eclipse.ui",1387516319584
started,bundle,org.eclipse.mylyn.team.ui,3.7.1.v20120425-0100,"org.eclipse.mylyn.team.ui",1387516319791
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516334072
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516337025
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516338171
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516361065
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516363305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516365146
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1387516365395
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1387516367595
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1387516367972
activated,perspective,org.eclipse.jst.j2ee.ui,,"org.eclipse.jst.j2ee.J2EEPerspective",1387616629670
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1387616629673
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1387616629675
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1387616629677
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1387616629679
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1387616629681
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1387616629683
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1387616629684
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1387616630140
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1387616630142
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1387616630144
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,"org.eclipse.core.resources",1387616630155
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1387616630157
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1387616630158
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1387616630160
started,bundle,org.eclipse.emf.common,2.6.0.v20100914-1218,"org.eclipse.emf.common",1387616630162
